task	o1_reward	o1_total_reward	o2_reward	o2_total_reward	o3_reward	o3_total_reward	o4_reward	o4_total_reward	s1_reward	s1_total_reward	s10_reward	s10_total_reward	s30_reward	s30_total_reward	s60_reward	s60_total_reward
57	1.167911949	21.039957168000004	1.0629327739999996	32.614745541999994	2.16343812	29.073653979999992	0.0	23.094160783000003	0.0	0.11434823999999999	0.0	6.785800448	0.0	14.337685891	0.3046537210000002	18.655271647000003
58	2.16314658	23.203103748000004	2.5613049180000003	35.17605045999999	1.2254282799999998	30.29908225999999	0.7800721340000001	23.874232917000004	0.0	0.11434823999999999	1.979545176	8.765345624	0.07259029800000016	14.410276189	1.3885106569999996	20.043782304000004
59	1.2009733479999998	24.404077096	1.236867084	36.412917543999995	2.00151037	32.30059262999999	0.999509633	24.873742550000003	0.0	0.11434823999999999	0.0	8.765345624	0.14969166499999975	14.559967854	1.545522341	21.589304645000006
60	1.4258501049999996	25.829927201	0.8474936289999997	37.260411172999994	1.58513339	33.88572601999999	1.06311744	25.936859990000002	0.0	0.11434823999999999	0.0	8.765345624	1.846063038	16.406030892	1.1283183150000002	22.717622960000007
61	1.157291197	26.987218398	1.1918748449999996	38.452286017999995	1.1658608499999998	35.051586869999994	1.1088362200000002	27.045696210000003	0.0	0.11434823999999999	1.6230773040000002	10.388422928	1.3852272970000001	17.791258189	1.443013994	24.160636954000008
62	1.03119215	28.018410548	1.3964551299999997	39.848741147999995	1.50069977	36.55228663999999	2.2926506	29.338346810000004	0.0	0.11434823999999999	0.0	10.388422928	1.4532233319999999	19.244481521	1.382371349	25.543008303000008
63	1.1718403229999999	29.190250871	1.1767904749999998	41.02553162299999	1.423058787	37.97534542699999	0.090878762	29.429225572000004	0.0	0.11434823999999999	0.814125384	11.202548312000001	1.49340115	20.737882671	0.0	0.0
64	3.610727373	32.800978244	3.876720842	44.90225246499999	0.9500419260000001	38.92538735299999	1.0429560360000003	30.472181608000003	0.0	0.11434823999999999	0.0	11.202548312000001	1.7177352569999997	22.455617928000002	0.0	0.0
65	1.4557936080000002	34.256771852	2.3090686739999997	47.21132113899999	0.9574841249999999	39.88287147799999	3.60584432	34.078025928	0.3592916039999996	0.4736398439999996	0.0	11.202548312000001	1.4507027959999999	23.906320724000004	0.0	0.0
66	2.3727854159999997	36.629557268	1.7151906959999996	48.92651183499999	0.9779165230000002	40.86078800099999	1.720297484	35.798323412	0.0	0.4736398439999996	1.071702096	12.274250408	1.2377236560000002	25.144044380000004	0.0	0.0
67	1.357692736	37.987250003999996	1.2339310020000003	50.16044283699999	1.303744208	42.16453220899999	2.253071352	38.051394764	0.0	0.4736398439999996	0.0	12.274250408	0.08884466399999935	25.232889044000004	0.0	0.0
68	1.4762964899999997	39.463546494	1.568720184	51.72916302099999	2.435191316	44.59972352499999	1.0450167960000003	39.09641156	0.0	0.4736398439999996	0.0	12.274250408	0.21724231200000022	25.450131356000004	0.0	0.0
69	1.1085123700000001	40.572058864	0.9062839560000002	52.635446976999994	1.3232756040000002	45.92299912899999	1.8503029260000003	40.946714486	0.0	0.4736398439999996	0.16903624799999983	12.443286656	1.527612194	26.977743550000003	0.0	0.0
70	1.6156354599999996	42.187694324	1.5009947099999998	54.136441686999994	1.3347195109999999	47.25771863999999	1.62013218	42.566846665999996	0.0	0.4736398439999996	0.008946170999999836	12.452232827	1.3022793579999996	28.280022908000003	0.0	0.0
