task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r2_rollrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	r3_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19
0	6.135178381142447	0	38.705960352644	13.864821618857553	13.864821618857553	13.864821618857553	4.37318201420179	0	43.62486687702	15.62681798579821	15.62681798579821	15.62681798579821	0.01825381060967146	0	55.884291887951996	20.01825381060967	20.01825381060967	20.01825381060967	4.249040328153789	0	43.971429083904	15.75095967184621	15.75095967184621	15.75095967184621	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	7.429232000752236	1	73.79935435054401	12.570767999247764	13.21779480905266	13.21779480905266	9.592891107355225	1	126.23835455172	29.592891107355225	22.609854546576717	22.609854546576717	5.098895913276298	1	97.483207463389	14.901104086723702	17.459678948666685	17.459678948666685	8.629666821623404	1	75.713609206872	11.370333178376596	13.560646425111404	13.560646425111404	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	8.847883150331224	2	104.93234722253601	11.152116849668776	12.529235489258033	12.529235489258033	6.59197856068776	2	163.6690810698	13.40802143931224	19.542576844155224	19.542576844155224	10.951156678232842	2	183.888519856789	30.95115667823284	21.9568381918554	21.9568381918554	8.70241556663797	2	107.25269908334099	11.29758443336203	12.806292427861612	12.806292427861612	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	7.854687578678092	3	138.838011065393	12.145312421321908	12.433254722274	12.433254722274	12.155032529676419	3	253.43521354848	32.15503252967642	22.695690765535524	22.695690765535524	6.577041772864593	3	221.360944907542	13.422958227135407	19.823368200675404	19.823368200675404	8.135616157582326	3	140.374103976757	11.864383842417674	12.570815281500627	12.570815281500627	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.5668867839590419	4	193.088785460174	19.433113216040958	13.833226421027394	13.833226421027394	9.016746153068294	4	334.44029655912897	29.016746153068294	23.95990184304208	23.95990184304208	5.483828065219107	4	261.885258225472	14.516171934780893	18.7619289474965	18.7619289474965	6.075566015739701	4	179.246482182817	13.924433984260299	12.841539022052562	12.841539022052562	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1.261923693379103	5	245.399248482824	18.738076306620897	14.650701401959644	14.650701401959644	5.555606651010386	5	374.76422799172497	14.444393348989614	22.3739837607	22.3739837607	3.743039823522391	5	307.269272051472	16.25696017647761	18.344434152326684	18.344434152326684	7.196692688761551	5	214.989048426691	12.803307311238449	12.835167070250208	12.835167070250208	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	4.611942020967165	6	288.357577007624	15.388057979032835	14.756038055827243	14.756038055827243	1.5793518793982138	6	426.18853732840495	18.420648120601786	21.809221526400254	21.809221526400254	16.80591178400406	6	410.01910911515	36.80591178400406	20.981788099709167	20.981788099709167	5.855502145287163	6	254.475771604431	14.144497854712837	13.02221432517344	13.02221432517344	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
7	5.249303324813134	7	329.53660522585403	14.750696675186866	14.755370383247197	14.755370383247197	6.426876913648234	7	464.08017261113696	13.573123086351766	20.779709221394192	20.779709221394192	1.4744294089172563	7	461.736327015256	18.525570591082744	20.674760911130864	20.674760911130864	3.26689493444	7	301.189023245786	16.73310506556	13.48607566772176	13.48607566772176	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
8	4.307451602454925	8	373.34496950233404	15.692548397545075	14.859501273724739	14.859501273724739	5.004085788599763	8	505.94376645129597	14.995914211400237	20.137065331394865	20.137065331394865	1.3717363255878219	8	513.74022977299	18.628263674412178	20.447372329273232	20.447372329273232	6.053397001856716	8	340.123289948936	13.946602998143284	13.537245371101928	13.537245371101928	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
9	5.344537680492298	9	414.258135144293	14.655462319507702	14.839097378303034	14.839097378303034	20.5741860916351	9	619.213369290444	40.5741860916351	22.18077740741889	22.18077740741889	1.0461160136128917	9	566.653155901654	18.95388398638711	20.29802349498462	20.29802349498462	5.634080527441194	9	380.228148476496	14.365919472558806	13.620112781247617	13.620112781247617	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
